id,title,slug,image,ordering,is_active
1,Будівельна промисловість,budivelna-promislovist,item/Industry_In_use_Concrete_a242a31_1_1181x787px_E_NR-684.JPG,1,1
2,Сільське господарство,silske-gospodarstvo,item/Snugboot_in_use_Dunlop_Snugboot_Workpro_full_safety_NE68A93_96dpi_1181x788px_E_NR-1638.JPG,2,1
3,Харчова промисловість,kharchova-promislovist,item/Food_In_use_Classic_A181331_B180331_CA61131_CB61131_DA60131_1_1181x787px_E_NR-656.JPG,3,1
5,Туризм / Рибальство / Охота,outdoor,item/Snugboot_in_use_Dunlop_Snugboot_Pioneer_OD60A93_96dpi_1181x943px_E_NR-1643.JPG,4,1
7,Dunlop Зима,DunlopWinter,item/Leisure_OPR_In_use_Vallay_P182433_788x1024px_E_NR-611.JPG,5,1
4,Dunlop Kids,DunlopKids,item/Leisure_In_use_SportRetail_K286711_683x1024px_E_NR-636.JPG,6,1
8,Аксесуари для взуття,aksesuari-dlia-vzuttia,item/dunlop_outsole_khLsRGL.jpg,7,1
